cas_number,compound_name,related_cas,source_sheet
121-92-6,メタ－ニトロ安息香酸,121-92-6,R8.4時点適用対象物質及び裾切値一覧
12108-13-3,２－メチルシクロペンタジエニルトリカルボニルマンガン,12108-13-3,R8.4時点適用対象物質及び裾切値一覧
121158-58-5,ドデシルフェノール（イソドデシルフェノールを除く。）,"27459-10-5,57427-55-1,121158-58-5,27193-86-8",R9.4追加等対象物質及び裾切値一覧
12122-67-7,Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）亜鉛（別名ジネブ）,12122-67-7,R8.4時点適用対象物質及び裾切値一覧
12124-97-9,臭化アンモニウム,12124-97-9,R9.4追加等対象物質及び裾切値一覧
12125-02-9,塩化アンモニウム,12125-02-9,R8.4時点適用対象物質及び裾切値一覧
1214-39-7,６－（ベンジルアミノ）プリン,1214-39-7,R8.4時点適用対象物質及び裾切値一覧
121552-61-2,４－シクロプロピル－６－メチル－Ｎ－フェニルピリミジン－２－アミン（別名シプロジニル）,121552-61-2,R9.4追加等対象物質及び裾切値一覧
12174-11-7,パリゴルスカイト（別名アタパルジャイト）,12174-11-7,R8.4時点適用対象物質及び裾切値一覧
12185-10-3,黄りん,12185-10-3,R8.4時点適用対象物質及び裾切値一覧
122-00-9,パラ－メチルアセトフェノン,122-00-9,R8.4時点適用対象物質及び裾切値一覧
122-03-2,クミンアルデヒド,122-03-2,R8.4時点適用対象物質及び裾切値一覧
122-14-5,チオりん酸Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－ニトロフェニル）（別名フェニトロチオン）,122-14-5,R8.4時点適用対象物質及び裾切値一覧
122-18-9,アルキル（ベンジル）（ジメチル）アンモニウム=クロリド（アルキル基の炭素数が１２から１６までのもの及びその混合物に限る。）,"122-18-9,139-07-1,139-08-2,68424-85-1,85409-22-9",R9.4追加等対象物質及び裾切値一覧
122-19-0,ベンジル（ジメチル）（オクタデシル）アンモニウム＝クロリド,122-19-0,R9.4追加等対象物質及び裾切値一覧
122-20-3,トリイソプロパノールアミン,122-20-3,R8.4時点適用対象物質及び裾切値一覧
122-34-9,２－クロロ－４，６－ビス（エチルアミノ）－１，３，５－トリアジン（別名シマジン又はＣＡＴ）,122-34-9,R8.4時点適用対象物質及び裾切値一覧
122-39-4,ジフェニルアミン,122-39-4,R8.4時点適用対象物質及び裾切値一覧
122-40-7,２－ベンジリデンヘプタナール,122-40-7,R8.4時点適用対象物質及び裾切値一覧
122-51-0,トリエトキシメタン,122-51-0,R8.4時点適用対象物質及び裾切値一覧
122-52-1,亜りん酸トリエチル,122-52-1,R8.4時点適用対象物質及び裾切値一覧
122-60-1,２，３－エポキシプロピル＝フェニルエーテル,122-60-1,R8.4時点適用対象物質及び裾切値一覧
122-66-7,１，２－ジフェニルヒドラジン,122-66-7,R8.4時点適用対象物質及び裾切値一覧
122-88-3,４－クロロフェノキシ酢酸,122-88-3,R8.4時点適用対象物質及び裾切値一覧
122-99-6,２－フェノキシエタノール,122-99-6,R8.4時点適用対象物質及び裾切値一覧
122008-85-9,ブチル＝（Ｒ）－２－［４－（４－シアノ－２－フルオロフェノキシ）フェノキシ］プロピオナート（別名シハロホップブチル）,122008-85-9,R8.4時点適用対象物質及び裾切値一覧
1222-05-5,４，６，６，７，８，８－ヘキサメチル－１，３，４，６，７，８－ヘキサヒドロシクロペンタ［ｇ］イソクロメン,1222-05-5,R8.4時点適用対象物質及び裾切値一覧
122453-73-0,４－ブロモ－２－（４－クロロフェニル）－１－エトキシメチル－５－（トリフルオロメチル）ピロール－３－カルボニトリル（別名クロルフェナピル）,122453-73-0,R8.4時点適用対象物質及び裾切値一覧
122548-33-8,１－（２－クロロイミダゾ［１，２－ａ］ピリジン－３－イルスルホニル）－３－（４，６－ジメトキシピリミジン－２－イル）尿素（別名イマゾスルフロン）,122548-33-8,R9.4追加等対象物質及び裾切値一覧
12280-03-4,十三酸化八ほう素二ナトリウム四水和物,12280-03-4,R8.4時点適用対象物質及び裾切値一覧
123-03-5,１－ヘキサデシルピリジン－１－イウム＝クロリド,123-03-5,R8.4時点適用対象物質及び裾切値一覧
123-07-9,パラ－エチルフェノール,123-07-9,R8.4時点適用対象物質及び裾切値一覧
123-11-5,パラ－アニスアルデヒド,123-11-5,R8.4時点適用対象物質及び裾切値一覧
123-15-9,２－メチルペンタナール,123-15-9,R8.4時点適用対象物質及び裾切値一覧
123-19-3,ジ－ノルマル－プロピルケトン,123-19-3,R8.4時点適用対象物質及び裾切値一覧
123-23-9,ジコハク酸ペルオキシド,123-23-9,R8.4時点適用対象物質及び裾切値一覧
123-30-8,パラ－アミノフェノール,123-30-8,R8.4時点適用対象物質及び裾切値一覧
123-31-9,ヒドロキノン,123-31-9,R8.4時点適用対象物質及び裾切値一覧
123-32-0,２，５－ジメチルピラジン,123-32-0,R8.4時点適用対象物質及び裾切値一覧
123-35-3,７－メチル－３－メチレン－１，６－オクタジエン,123-35-3,R8.4時点適用対象物質及び裾切値一覧
123-38-6,プロピオンアルデヒド,123-38-6,R8.4時点適用対象物質及び裾切値一覧
123-39-7,Ｎ－メチルホルムアミド,123-39-7,R8.4時点適用対象物質及び裾切値一覧
123-42-2,ジアセトンアルコール,123-42-2,R8.4時点適用対象物質及び裾切値一覧
123-51-3,イソペンチルアルコール（別名イソアミルアルコール）,123-51-3,R8.4時点適用対象物質及び裾切値一覧
123-54-6,アセチルアセトン,123-54-6,R8.4時点適用対象物質及び裾切値一覧
123-62-6,無水プロピオン酸,123-62-6,R8.4時点適用対象物質及び裾切値一覧
123-63-7,パラアルデヒド,123-63-7,R8.4時点適用対象物質及び裾切値一覧
123-66-0,ヘキサン酸エチル（別名カプロン酸エチル）,123-66-0,R8.4時点適用対象物質及び裾切値一覧
123-68-2,アリル＝ヘキサノアート,123-68-2,R8.4時点適用対象物質及び裾切値一覧
123-72-8,ブチルアルデヒド,123-72-8,R8.4時点適用対象物質及び裾切値一覧
123-73-9,２－ブテナール,123-73-9,R8.4時点適用対象物質及び裾切値一覧
123-75-1,ピロリジン,123-75-1,R8.4時点適用対象物質及び裾切値一覧
123-77-3,アゾジカルボンアミド,123-77-3,R8.4時点適用対象物質及び裾切値一覧
123-86-4,酢酸ブチル,"123-86-4,110-19-0,540-88-5,105-46-4",R8.4時点適用対象物質及び裾切値一覧
123-91-1,１，４－ジオキサン,123-91-1,R8.4時点適用対象物質及び裾切値一覧
123-92-2,酢酸ペンチル（別名酢酸アミル）,"628-63-7,123-92-2",R8.4時点適用対象物質及び裾切値一覧
123-96-6,２－オクタノール,123-96-6,R8.4時点適用対象物質及び裾切値一覧
123572-88-3,（ＲＳ）－５－クロロ－Ｎ－（１，３－ジヒドロ－１，１，３－トリメチルイソベンゾフラン－４－イル）－１，３－ジメチル－１Ｈ－ピラゾール－４－カルボキサミド（別名フラメトピル）,123572-88-3,R9.4追加等対象物質及び裾切値一覧
124-02-7,ジアリルアミン,124-02-7,R8.4時点適用対象物質及び裾切値一覧
124-04-9,アジピン酸,124-04-9,R8.4時点適用対象物質及び裾切値一覧
124-07-2,オクタン酸,124-07-2,R10.4追加等対象物質及び裾切値一覧
124-09-4,ヘキサメチレンジアミン,124-09-4,R8.4時点適用対象物質及び裾切値一覧
124-11-8,ノナ－１－エン,124-11-8,R8.4時点適用対象物質及び裾切値一覧
124-13-0,１－オクタナール,124-13-0,R8.4時点適用対象物質及び裾切値一覧
124-18-5,デカン,124-18-5,R8.4時点適用対象物質及び裾切値一覧
124-19-6,１－ノナナール,124-19-6,R8.4時点適用対象物質及び裾切値一覧
124-28-7,Ｎ，Ｎ－ジメチルオクタデシルアミン,124-28-7,R8.4時点適用対象物質及び裾切値一覧
124-30-1,オクタデカン－１－アミン,124-30-1,R8.4時点適用対象物質及び裾切値一覧
124-38-9,二酸化炭素,124-38-9,R8.4時点適用対象物質及び裾切値一覧
124-40-3,ジメチルアミン,124-40-3,R8.4時点適用対象物質及び裾切値一覧
124-41-4,ナトリウムメトキシド,124-41-4,R8.4時点適用対象物質及び裾切値一覧
124-43-6,過酸化尿素,124-43-6,R8.4時点適用対象物質及び裾切値一覧
124-47-0,硝酸尿素,124-47-0,R8.4時点適用対象物質及び裾切値一覧
124-48-1,ジブロモクロロメタン,124-48-1,R8.4時点適用対象物質及び裾切値一覧
124-63-0,メタンスルホニル＝クロリド,124-63-0,R8.4時点適用対象物質及び裾切値一覧
124-68-5,２－アミノ－２－メチル－１－プロパノール,124-68-5,R8.4時点適用対象物質及び裾切値一覧
1241-94-7,りん酸（２－エチルヘキシル）ジフェニル,1241-94-7,R8.4時点適用対象物質及び裾切値一覧
12427-38-2,Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）マンガン（別名マンネブ）,12427-38-2,R8.4時点適用対象物質及び裾切値一覧
125-12-2,ｒｅｌ－（１Ｒ，２Ｒ，４Ｒ）－１，７，７－トリメチルビシクロ［２．２．１］ヘプタン－２－イル＝アセタート（別名イソボルニル＝アセテート）,125-12-2,R9.4追加等対象物質及び裾切値一覧
12510-42-8,エリオナイト,12510-42-8,R8.4時点適用対象物質及び裾切値一覧
125225-28-7,（１ＲＳ，２ＳＲ，５ＲＳ；１ＲＳ，２ＳＲ，５ＳＲ）－２－（４－クロロベンジル）－５－イソプロピル－１－（１Ｈ－１，２，４－トリアゾール－１－イルメチル）シクロペンタノール,125225-28-7,R9.4追加等対象物質及び裾切値一覧
125306-83-4,Ｎ，Ｎ－ジエチル－３－（２，４，６－トリメチルフェニルスルホニル）－１Ｈ－１，２，４－トリアゾール－１－カルボキサミド（別名カフェンストロール）,125306-83-4,R8.4時点適用対象物質及び裾切値一覧
126-07-8,（１’Ｓ－トランス）－７－クロロ－２’，４，６－トリメトキシ－６’－メチルスピロ［ベンゾフラン－２（３Ｈ），１’－シクロヘキサ－２’－エン］－３，４’－ジオン（別名グリセオフルビン）,126-07-8,R8.4時点適用対象物質及び裾切値一覧
126-33-0,テトラヒドロチオフェン－１，１－ジオキシド,126-33-0,R8.4時点適用対象物質及び裾切値一覧
126-72-7,りん酸トリス（２，３－ジブロモプロピル）,126-72-7,R8.4時点適用対象物質及び裾切値一覧
126-73-8,りん酸トリ－ノルマル－ブチル,126-73-8,R8.4時点適用対象物質及び裾切値一覧
126-85-2,Ｎ，Ｎ－ビス（２－クロロエチル）メチルアミン－Ｎ－オキシド,126-85-2,R8.4時点適用対象物質及び裾切値一覧
126-98-7,メタクリロニトリル,126-98-7,R8.4時点適用対象物質及び裾切値一覧
126-99-8,２－クロロ－１，３－ブタジエン,126-99-8,R8.4時点適用対象物質及び裾切値一覧
12604-58-9,フェロバナジウム,12604-58-9,R8.4時点適用対象物質及び裾切値一覧
126833-17-8,Ｎ－（２，３－ジクロロ－４－ヒドロキシフェニル）－１－メチルシクロヘキサンカルボキサミド（別名フェンヘキサミド）,126833-17-8,R8.4時点適用対象物質及び裾切値一覧
127-00-4,１－クロロ－２－プロパノール,127-00-4,R8.4時点適用対象物質及び裾切値一覧
127-18-4,テトラクロロエチレン（別名パークロルエチレン）,127-18-4,R8.4時点適用対象物質及び裾切値一覧
127-19-5,Ｎ，Ｎ－ジメチルアセトアミド,127-19-5,R8.4時点適用対象物質及び裾切値一覧
127-51-5,３－メチル－４－（２，６，６－トリメチルシクロヘキサ－２－エン－１－イル）ブタ－３－エン－２－オン,127-51-5,R9.4追加等対象物質及び裾切値一覧
127-68-4,３－ニトロベンゼンスルホン酸ナトリウム,127-68-4,R8.4時点適用対象物質及び裾切値一覧
127-91-3,ベータ－ピネン,127-91-3,R8.4時点適用対象物質及び裾切値一覧
128-04-1,ジメチルジチオカルバミン酸ナトリウム,128-04-1,R8.4時点適用対象物質及び裾切値一覧
128-37-0,２，６－ジ－ターシャリ－ブチル－４－クレゾール,128-37-0,R8.4時点適用対象物質及び裾切値一覧
128-62-1,ノスカピン,128-62-1,R8.4時点適用対象物質及び裾切値一覧
128639-02-1,エチル＝２－クロロ－３－［２－クロロ－５－［４－（ジフルオロメチル）－３－メチル－５－オキソ－４，５－ジヒドロ－１Ｈ－１，２，４－トリアゾール－１－イル］－４－フルオロフェニル］プロパノアート,128639-02-1,R8.4時点適用対象物質及び裾切値一覧
129-15-7,２－メチル－１－ニトロアントラキノン,129-15-7,R8.4時点適用対象物質及び裾切値一覧
129-43-1,１－ヒドロキシアントラキノン,129-43-1,R8.4時点適用対象物質及び裾切値一覧
129-66-8,２，４，６－トリニトロ安息香酸,129-66-8,R8.4時点適用対象物質及び裾切値一覧
129-67-9,二ナトリウム＝７－オキサビシクロ［２．２．１］ヘプタン－２，３－ジカルボキシラート,129-67-9,R8.4時点適用対象物質及び裾切値一覧
129-73-7,４，４’－ビス（ジメチルアミノ）トリフェニルメタン,129-73-7,R8.4時点適用対象物質及び裾切値一覧
129558-76-5,４－クロロ－３－エチル－１－メチル－Ｎ－［４－（パラトリルオキシ）ベンジル］ピラゾール－５－カルボキサミド（別名トルフェンピラド）,129558-76-5,R8.4時点適用対象物質及び裾切値一覧
130-15-4,ナフタレン－１，４－ジオン,130-15-4,R8.4時点適用対象物質及び裾切値一覧
1300-73-8,キシリジン,"1300-73-8,87-59-2,95-68-1,95-78-3,87-62-7,95-64-7,108-69-0",R8.4時点適用対象物質及び裾切値一覧
130000-40-7,２’，６’－ジブロモ－２－メチル－４’－トリフルオロメトキシ－４－トリフルオロメチル－１，３－チアゾール－５－カルボキサニリド（別名チフルザミド）,130000-40-7,R8.4時点適用対象物質及び裾切値一覧
13010-47-4,Ｎ－（２－クロロエチル）－Ｎ’－シクロヘキシル－Ｎ－ニトロソ尿素,13010-47-4,R8.4時点適用対象物質及び裾切値一覧
1302-74-5,エメリー,1302-74-5,R8.4時点適用対象物質及び裾切値一覧
1303-86-2,三酸化二ほう素,1303-86-2,R8.4時点適用対象物質及び裾切値一覧
1304-29-6,過酸化バリウム,1304-29-6,R8.4時点適用対象物質及び裾切値一覧
1304-76-3,酸化ビスマス（Ⅲ）,1304-76-3,R8.4時点適用対象物質及び裾切値一覧
1304-85-4,硝酸水酸化ビスマス（Ⅲ）（別名次硝酸ビスマス）,1304-85-4,R8.4時点適用対象物質及び裾切値一覧
13048-33-4,二アクリル酸ヘキサメチレン,13048-33-4,R8.4時点適用対象物質及び裾切値一覧
1305-62-0,水酸化カルシウム,1305-62-0,R8.4時点適用対象物質及び裾切値一覧
1305-78-8,酸化カルシウム,1305-78-8,R8.4時点適用対象物質及び裾切値一覧
1305-79-9,過酸化カルシウム,1305-79-9,R8.4時点適用対象物質及び裾切値一覧
1305-99-3,りん化石灰,1305-99-3,R8.4時点適用対象物質及び裾切値一覧
1306-38-3,酸化セリウム（Ⅳ）,1306-38-3,R8.4時点適用対象物質及び裾切値一覧
13067-93-1,Ｏ－（４－シアノフェニル）＝Ｏ－エチル＝フェニルホスホノチオアート,13067-93-1,R8.4時点適用対象物質及び裾切値一覧
13071-79-9,ジチオりん酸Ｏ，Ｏ－ジエチル－Ｓ－（ターシャリ－ブチルチオメチル）（別名テルブホス）,13071-79-9,R8.4時点適用対象物質及び裾切値一覧
1309-37-1,酸化鉄,1309-37-1,R8.4時点適用対象物質及び裾切値一覧
1309-48-4,酸化マグネシウム,1309-48-4,R8.4時点適用対象物質及び裾切値一覧
1309-64-4,三酸化二アンチモン,1309-64-4,R8.4時点適用対象物質及び裾切値一覧
131-11-3,フタル酸ジメチル,131-11-3,R8.4時点適用対象物質及び裾切値一覧
131-17-9,フタル酸ジアリル,131-17-9,R8.4時点適用対象物質及び裾切値一覧
131-18-0,フタル酸ジペンチル,131-18-0,R8.4時点適用対象物質及び裾切値一覧
131-52-2,ペンタクロロフェノールナトリウム塩,131-52-2,R8.4時点適用対象物質及び裾切値一覧
131-57-7,（２－ヒドロキシ－４－メトキシフェニル）（フェニル）メタノン,131-57-7,R8.4時点適用対象物質及び裾切値一覧
131-72-6,２，４－ジニトロ－６－（オクタン－２－イル）フェニル＝（Ｅ）－２－ブテノアート（別名メプチルジノカップ）,131-72-6,R8.4時点適用対象物質及び裾切値一覧
131-73-7,ビス（２，４，６－トリニトロフェニル）アミン,131-73-7,R8.4時点適用対象物質及び裾切値一覧
131-74-8,ピクリン酸アンモニウム,131-74-8,R8.4時点適用対象物質及び裾切値一覧
131-89-5,２，４－ジニトロ－６－シクロヘキシルフェノール,131-89-5,R8.4時点適用対象物質及び裾切値一覧
1310-58-3,水酸化カリウム,1310-58-3,R8.4時点適用対象物質及び裾切値一覧
1310-65-2,水酸化リチウム,1310-65-2,R8.4時点適用対象物質及び裾切値一覧
1310-73-2,水酸化ナトリウム,1310-73-2,R8.4時点適用対象物質及び裾切値一覧
1312-73-8,硫化カリウム,1312-73-8,R8.4時点適用対象物質及び裾切値一覧
1313-60-6,過酸化ナトリウム,1313-60-6,R8.4時点適用対象物質及び裾切値一覧
1313-82-2,硫化ナトリウム,1313-82-2,R8.4時点適用対象物質及び裾切値一覧
131341-86-1,４－（２，２－ジフルオロ－１，３－ベンゾジオキソール－４－イル）－１Ｈ－ピロール－３－カルボニトリル（別名フルジオキソニル）,131341-86-1,R8.4時点適用対象物質及び裾切値一覧
1314-13-2,酸化亜鉛,1314-13-2,R8.4時点適用対象物質及び裾切値一覧
1314-18-7,過酸化ストロンチウム,1314-18-7,R8.4時点適用対象物質及び裾切値一覧
1314-22-3,過酸化亜鉛,1314-22-3,R8.4時点適用対象物質及び裾切値一覧
1314-34-7,三酸化バナジウム,1314-34-7,R8.4時点適用対象物質及び裾切値一覧
1314-35-8,酸化タングステン（Ⅵ）,1314-35-8,R8.4時点適用対象物質及び裾切値一覧
1314-56-3,酸化りん（Ⅴ）（別名五酸化二りん）,1314-56-3,R8.4時点適用対象物質及び裾切値一覧
1314-62-1,五酸化バナジウム,1314-62-1,R8.4時点適用対象物質及び裾切値一覧
1314-80-3,硫化りん,"1314-80-3,1314-85-8",R8.4時点適用対象物質及び裾切値一覧
1314-84-7,りん化亜鉛,1314-84-7,R8.4時点適用対象物質及び裾切値一覧
1314-85-8,硫化りん,"1314-80-3,1314-85-8",R8.4時点適用対象物質及び裾切値一覧
131475-57-5,（ＲＳ）－Ｎ－［２－（３，５－ジメチルフェノキシ）－１－メチルエチル］－６－（１－フルオロ－１－メチルエチル）－１，３，５－トリアジン－２，４－ジアミン（別名トリアジフラム）,131475-57-5,R9.4追加等対象物質及び裾切値一覧
13171-21-6,ジメチル－（ジエチルアミド－１－クロルクロトニル）－ホスフェイト,13171-21-6,R8.4時点適用対象物質及び裾切値一覧
1318-02-1,ゼオライト,1318-02-1,R8.4時点適用対象物質及び裾切値一覧
131860-33-8,メチル＝（Ｅ）－２－［２－［６－（２－シアノフェノキシ）ピリミジン－４－イルオキシ］フェニル］－３－メトキシアクリラート（別名アゾキシストロビン）,131860-33-8,R8.4時点適用対象物質及び裾切値一覧
13189-00-9,亜鉛＝ビス（２－メチルプロパ－２－エノアート）,13189-00-9,R9.4追加等対象物質及び裾切値一覧
1319-77-3,クレゾール,"1319-77-3,95-48-7,108-39-4,106-44-5",R8.4時点適用対象物質及び裾切値一覧
13194-48-4,Ｏ－エチル＝Ｓ，Ｓ－ジプロピル＝ホスホロジチオアート（別名エトプロホス）,13194-48-4,R8.4時点適用対象物質及び裾切値一覧
132-27-4,ナトリウム＝１，１’－ビフェニル－２－オラート,132-27-4,R8.4時点適用対象物質及び裾切値一覧
132-32-1,３－アミノ－Ｎ－エチルカルバゾール,132-32-1,R8.4時点適用対象物質及び裾切値一覧
132-65-0,ジベンゾ［ｂ，ｄ］チオフェン,132-65-0,R8.4時点適用対象物質及び裾切値一覧
1321-12-6,ニトロトルエン,1321-12-6,R8.4時点適用対象物質及び裾切値一覧
1321-64-8,ペンタクロロナフタレン,1321-64-8,R8.4時点適用対象物質及び裾切値一覧
1321-65-9,トリクロロナフタレン,1321-65-9,R8.4時点適用対象物質及び裾切値一覧
1321-74-0,ジビニルベンゼン,"1321-74-0,108-57-6,105-06-6",R8.4時点適用対象物質及び裾切値一覧
1322-98-1,デシルベンゼンスルホン酸及びそのナトリウム塩,"31093-47-7,1322-98-1",R8.4時点適用対象物質及び裾切値一覧
13256-22-9,Ｎ－メチル－Ｎ－ニトロソグリシン,13256-22-9,R8.4時点適用対象物質及び裾切値一覧
133-06-2,Ｎ－（トリクロロメチルチオ）－１，２，３，６－テトラヒドロフタルイミド（別名キャプタン）,133-06-2,R8.4時点適用対象物質及び裾切値一覧
133-07-3,Ｎ－（トリクロロメチルチオ）フタルイミド,133-07-3,R8.4時点適用対象物質及び裾切値一覧
133-32-4,４－（１Ｈ－インドール－３－イル）ブタン酸,133-32-4,R8.4時点適用対象物質及び裾切値一覧
1330-20-7,キシレン,"1330-20-7,95-47-6,108-38-3,106-42-3",R8.4時点適用対象物質及び裾切値一覧
1330-43-4,ほう酸及びそのナトリウム塩,"10043-35-3,1330-43-4",R8.4時点適用対象物質及び裾切値一覧
1330-78-5,りん酸トリトリル（りん酸トリ（オルト－トリル）を除く。）,1330-78-5,R8.4時点適用対象物質及び裾切値一覧
1331-22-2,メチルシクロヘキサノン,1331-22-2,R8.4時点適用対象物質及び裾切値一覧
1331-61-9,ドデシルベンゼンスルホン酸のアンモニウム塩及びナトリウム塩,"1331-61-9,25155-30-0",R8.4時点適用対象物質及び裾切値一覧
13311-84-7,２－メチル－Ｎ－［４－ニトロ－３－（トリフルオロメチル）フェニル］プロパンアミド（別名フルタミド）,13311-84-7,R8.4時点適用対象物質及び裾切値一覧
1332-07-6,ほう酸亜鉛,1332-07-6,R8.4時点適用対象物質及び裾切値一覧
133220-30-1,（ＲＳ）－２－［２－（３－クロロフェニル）－２，３－エポキシプロピル］－２－エチルインダン－１，３－ジオン（別名インダノファン）,133220-30-1,R8.4時点適用対象物質及び裾切値一覧
1333-74-0,水素,1333-74-0,R8.4時点適用対象物質及び裾切値一覧
1333-86-4,カーボンブラック,1333-86-4,R8.4時点適用対象物質及び裾切値一覧
133408-50-1,（Ｅ）－２－メトキシイミノ－Ｎ－メチル－２－（２－フェノキシフェニル）アセトアミド（別名メトミノストロビン）,133408-50-1,R8.4時点適用対象物質及び裾切値一覧
1335-87-1,ヘキサクロロナフタレン,1335-87-1,R8.4時点適用対象物質及び裾切値一覧
1335-88-2,テトラクロロナフタレン,1335-88-2,R8.4時点適用対象物質及び裾切値一覧
13360-57-1,ジメチルスルファモイル＝クロリド,13360-57-1,R10.4追加等対象物質及び裾切値一覧
1338-23-4,エチルメチルケトンペルオキシド,1338-23-4,R8.4時点適用対象物質及び裾切値一覧
134-29-2,オルト－アニシジン及びその塩酸塩,"90-04-0,134-29-2",R8.4時点適用対象物質及び裾切値一覧
134-32-7,アルファ－ナフチルアミン及びその塩,134-32-7,R8.4時点適用対象物質及び裾切値一覧
134-62-3,Ｎ，Ｎ－ジエチル－３－メチルベンズアミド,134-62-3,R8.4時点適用対象物質及び裾切値一覧
134074-64-9,［２－［３－（４－クロロフェニル）プロピル］－２，４，４－トリメチル－１，３－オキサゾリジン－３－イル］（１Ｈ－イミダゾール－１－イル）メタノン,134074-64-9,R9.4追加等対象物質及び裾切値一覧
134098-61-6,ターシャリ－ブチル＝４－［［［（１，３－ジメチル－５－フェノキシ－４－ピラゾリル）メチリデン］アミノオキシ］メチル］ベンゾアート（別名フェンピロキシメート）,134098-61-6,R8.4時点適用対象物質及び裾切値一覧
1344-08-7,多硫化ナトリウム,1344-08-7,R8.4時点適用対象物質及び裾切値一覧
13446-18-9,硝酸マグネシウム及びその六水和物,"10377-60-3,13446-18-9",R8.4時点適用対象物質及び裾切値一覧
13453-07-1,塩化金（Ⅲ）（別名塩化第二金）,13453-07-1,R8.4時点適用対象物質及び裾切値一覧
13457-18-6,エチル＝２－ジエトキシチオホスホリルオキシ－５－メチルピラゾロ［１，５－ａ］ピリミジン－６－カルボキシラート（別名ピラゾホス）,13457-18-6,R8.4時点適用対象物質及び裾切値一覧
13463-40-6,ペンタカルボニル鉄,13463-40-6,R8.4時点適用対象物質及び裾切値一覧
13463-41-7,（Ｔ－４）－ビス［２－（チオキソ－カッパＳ）－ピリジン－１（２Ｈ）－オラト－カッパＯ］亜鉛（Ⅱ）,13463-41-7,R8.4時点適用対象物質及び裾切値一覧
13463-67-7,酸化チタン（Ⅳ）,13463-67-7,R8.4時点適用対象物質及び裾切値一覧
13477-10-6,次亜塩素酸バリウム,13477-10-6,R9.4追加等対象物質及び裾切値一覧
135-01-3,ジエチルベンゼン,"135-01-3,141-93-5,105-05-5",R8.4時点適用対象物質及び裾切値一覧
135-19-3,ベタナフトール,135-19-3,R8.4時点適用対象物質及び裾切値一覧
135-20-6,Ｎ－ニトロソフェニルヒドロキシルアミンアンモニウム塩,135-20-6,R8.4時点適用対象物質及び裾切値一覧
135-88-6,Ｎ－フェニル－２－ナフチルアミン,135-88-6,R8.4時点適用対象物質及び裾切値一覧
135-98-8,セカンダリ－ブチルベンゼン,135-98-8,R8.4時点適用対象物質及び裾切値一覧
13516-27-3,１，１’－［イミノジ（オクタメチレン）］ジグアニジン（別名イミノクタジン）,13516-27-3,R8.4時点適用対象物質及び裾切値一覧
13517-20-9,過ほう酸ナトリウム並びにその一水和物、三水和物及び四水和物,"7632-04-4,10332-33-9,10486-00-7,13517-20-9",R8.4時点適用対象物質及び裾切値一覧
13517-24-3,メタけい酸ナトリウム並びにその五水和物及び九水和物,"6834-92-0,10213-79-3,13517-24-3",R8.4時点適用対象物質及び裾切値一覧
13523-86-9,１－（１Ｈ－インドール－４－イルオキシ）－３－（イソプロピルアミノ）プロパン－２－オール,13523-86-9,R8.4時点適用対象物質及び裾切値一覧
13547-70-1,１－クロロ－３，３－ジメチル－２－ブタノン,13547-70-1,R8.4時点適用対象物質及び裾切値一覧
13593-03-8,チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－２－キノキサリニル,13593-03-8,R8.4時点適用対象物質及び裾切値一覧
13598-36-2,亜りん酸,13598-36-2,R8.4時点適用対象物質及び裾切値一覧
136-40-3,３－（フェニルジアゼニル）ピリジン－２，６－ジアミン一塩酸塩,136-40-3,R8.4時点適用対象物質及び裾切値一覧
136-78-7,２，４－ジクロロフェノキシエチル硫酸ナトリウム,136-78-7,R8.4時点適用対象物質及び裾切値一覧
136-99-2,２－（２－ウンデシル－４，５－ジヒドロ－１Ｈ－イミダゾール－１－イル）エタノール,136-99-2,R9.4追加等対象物質及び裾切値一覧
136191-64-5,メチル＝２－（４，６－ジメトキシ－２－ピリミジニルオキシ）－６－［１－（メトキシイミノ）エチル］ベンゾアート（別名ピリミノバックメチル）,136191-64-5,R8.4時点適用対象物質及び裾切値一覧
13674-84-5,りん酸トリス（２－クロロ－１－メチルエチル）,13674-84-5,R8.4時点適用対象物質及び裾切値一覧
13674-87-8,りん酸トリス（１，３－ジクロロ－２－プロピル）,13674-87-8,R8.4時点適用対象物質及び裾切値一覧
13684-56-5,エチル＝３－フェニルカルバモイルオキシカルバニラート（別名デスメディファム）,13684-56-5,R8.4時点適用対象物質及び裾切値一覧
13684-63-4,３－メトキシカルボニルアミノフェニル＝３’－メチルカルバニラート（別名フェンメディファム）,13684-63-4,R8.4時点適用対象物質及び裾切値一覧
137-05-3,２－シアノアクリル酸メチル,137-05-3,R8.4時点適用対象物質及び裾切値一覧
137-07-5,２－アミノベンゼンチオール,137-07-5,R8.4時点適用対象物質及び裾切値一覧
137-09-7,２，４－ジアミノフェノール二塩酸塩,137-09-7,R8.4時点適用対象物質及び裾切値一覧
137-17-7,２，４，５－トリメチルアニリン,137-17-7,R8.4時点適用対象物質及び裾切値一覧
137-26-8,テトラメチルチウラムジスルフィド（別名チウラム）,137-26-8,R8.4時点適用対象物質及び裾切値一覧
